redemption_id,c_id,pcode_id,cust_id,redeemed
9,8,1017,1489,0
15,29,538,368,0
17,30,857,523,0
19,2,559,679,0
24,5,893,761,0
27,5,689,186,0
29,8,8,695,0
30,8,674,886,0
32,30,320,1255,0
34,8,278,1398,0
39,26,326,63,0
42,30,363,88,0
43,8,911,197,0
45,8,383,1095,0
48,26,813,919,0
52,5,663,828,0
54,30,332,958,0
55,30,500,91,0
56,8,757,1447,0
58,30,1067,124,0
61,8,87,661,0
62,26,905,648,0
66,8,57,72,0
69,8,383,883,0
71,8,271,1366,0
74,26,582,578,0
75,30,333,895,0
79,30,256,1383,0
82,29,538,1162,0
83,8,700,19,0
84,2,628,384,0
86,29,750,113,0
88,26,854,1210,0
90,8,761,341,0
91,8,383,1475,0
92,3,828,998,0
97,26,867,321,0
99,8,709,372,0
102,8,8,659,0
103,30,1083,340,0
106,3,822,998,0
110,8,700,1044,0
113,26,917,435,0
122,8,772,166,0
124,29,982,278,0
131,8,60,1202,0
137,3,839,998,0
141,8,658,638,0
146,8,473,8,0
151,8,627,95,0
154,8,7,1195,0
158,30,924,1383,0
159,29,621,569,0
160,8,761,640,0
164,29,985,1029,0
171,5,279,1491,0
172,30,948,1534,0
176,8,383,80,0
179,26,368,1174,0
183,29,800,1099,0
188,7,687,441,0
193,8,725,1233,0
195,8,674,1369,0
200,8,14,1410,0
205,29,416,874,0
206,5,689,44,0
207,8,54,1201,0
213,8,902,28,0
218,8,554,1082,0
219,26,936,212,0
221,30,872,871,0
222,29,873,501,0
224,29,643,1229,0
225,8,433,343,0
228,29,538,634,0
238,29,800,131,0
239,8,723,1145,0
240,8,76,612,0
242,29,696,992,0
243,8,544,1307,0
250,8,97,389,0
254,7,687,532,0
261,8,490,38,0
262,8,55,1246,0
265,8,83,176,0
266,8,437,1449,0
267,3,836,725,0
269,8,806,866,0
279,8,64,125,0
283,30,646,1192,0
284,30,566,1462,0
293,8,581,191,0
295,8,537,1031,0
298,8,656,1236,0
305,8,759,932,0
307,8,616,402,0
308,8,883,1446,0
309,8,658,1292,0
316,8,430,835,0
320,8,694,1158,0
322,8,481,1089,0
326,8,916,355,0
328,30,348,1357,0
329,26,855,1426,0
330,8,554,273,0
332,8,792,727,0
342,26,470,1074,0
343,8,283,1373,0
345,8,554,293,0
347,8,6,654,0
352,30,1036,1061,0
353,5,663,1346,0
355,30,742,1348,0
356,8,598,324,0
359,26,797,214,1
360,8,744,306,0
362,8,63,691,0
367,8,1085,392,0
368,7,1050,1208,0
374,26,1057,1046,0
378,8,1018,189,0
380,8,257,1006,0
383,26,327,523,0
385,8,754,40,0
386,7,641,607,0
400,29,868,117,0
401,8,68,779,0
403,8,81,640,0
404,8,1045,1479,0
407,30,531,531,0
410,29,538,1212,0
419,29,265,1429,0
420,29,418,876,0
423,29,1040,278,0
424,8,432,590,0
425,26,769,790,0
428,26,912,1238,0
430,8,11,764,0
435,8,46,473,0
441,8,97,344,0
447,8,88,56,0
449,8,54,1195,0
450,8,682,1357,0
452,8,761,1368,0
454,8,733,594,0
455,8,807,776,0
463,8,1058,1471,0
465,8,598,1201,0
468,8,792,1234,0
469,30,324,566,0
470,26,492,1044,0
473,26,529,1464,0
478,26,925,1146,0
479,8,293,820,0
484,8,889,1039,0
487,5,663,795,0
488,28,492,401,0
496,26,746,477,0
497,8,793,1085,0
503,30,1015,1497,0
504,27,724,195,0
505,5,279,301,0
507,8,672,797,0
516,8,616,39,0
517,5,955,88,0
519,29,896,1445,0
523,8,56,944,0
526,8,983,689,0
529,8,532,704,0
530,26,466,969,0
531,8,725,852,0
532,8,810,815,0
534,8,56,768,0
535,8,99,1538,0
536,30,563,153,0
538,8,285,1474,0
539,26,301,152,0
543,8,87,839,0
545,8,919,1039,0
548,8,49,433,0
549,8,674,30,0
555,8,75,43,0
558,29,265,1212,0
560,30,683,1256,0
561,8,87,854,0
563,26,620,958,0
570,8,817,124,0
571,7,986,1084,0
572,26,367,766,0
575,8,481,651,0
576,8,247,1340,0
579,8,532,860,0
584,5,1043,301,0
589,8,885,1489,0
590,30,294,953,0
591,8,296,792,0
596,8,66,516,0
598,8,81,243,0
601,26,514,387,0
603,8,989,1411,0
612,8,737,883,0
621,30,980,1554,0
635,5,1043,42,0
638,30,303,1458,0
641,30,261,633,0
642,26,305,294,0
643,8,740,1044,0
646,8,433,478,0
647,5,663,829,0
648,30,260,1044,0
649,8,907,1321,0
650,8,1017,496,0
651,8,256,522,0
656,29,896,460,0
657,30,909,586,0
659,30,945,419,0
660,8,882,446,0
661,8,902,754,0
665,8,58,637,0
677,8,755,243,0
678,8,52,1064,0
682,8,432,1412,0
684,26,852,1029,0
686,8,610,1073,0
687,8,13,1514,0
693,8,711,384,0
698,8,73,290,0
699,5,934,1194,0
704,8,884,175,0
705,29,985,96,0
706,8,271,1305,0
710,26,937,1528,0
711,30,818,365,0
715,29,750,1167,0
718,8,494,815,0
719,29,443,152,0
721,29,896,207,0
722,8,658,1436,0
724,8,424,1434,0
731,30,354,273,0
732,30,773,1106,0
733,6,677,1101,0
736,3,670,444,0
740,8,810,276,0
741,8,14,528,0
742,8,1000,1112,0
743,8,1085,42,0
748,30,468,910,0
750,30,362,1140,0
764,26,502,1405,0
771,30,341,90,0
773,26,979,510,0
774,30,924,650,0
776,8,682,938,0
777,8,989,514,0
779,29,416,102,0
782,8,761,289,0
784,26,916,1469,0
785,26,745,989,0
789,8,812,353,0
792,30,773,1320,0
796,8,733,74,0
799,8,793,1536,0
800,29,458,1445,0
809,8,7,25,0
814,30,351,1383,0
820,28,407,1387,0
825,26,752,1332,0
830,26,2,261,0
831,26,344,648,0
832,29,416,19,0
833,8,754,1388,0
836,26,852,225,0
841,8,48,143,0
842,29,621,1045,0
847,8,69,892,0
852,30,946,1576,0
853,8,46,582,0
854,8,1045,1026,0
855,8,812,603,0
858,8,581,58,0
862,8,433,574,0
863,8,6,1259,0
868,30,320,1259,0
869,30,310,569,0
872,8,928,520,0
873,2,559,1241,0
874,29,416,1324,0
875,26,410,823,0
878,30,370,1472,0
880,8,63,338,0
882,8,970,355,0
888,8,60,1357,0
892,29,787,570,0
899,5,689,1415,0
901,8,447,236,0
904,8,964,307,0
906,8,88,910,0
907,8,68,118,0
912,30,821,946,0
915,8,84,484,0
916,30,984,1542,0
922,26,748,1402,0
925,7,1102,1124,0
932,8,449,1331,0
935,29,418,960,0
936,8,292,460,0
942,8,101,993,0
944,8,283,691,0
945,5,934,557,0
953,8,544,1178,0
955,7,687,665,0
956,8,879,1404,0
957,30,529,1310,0
959,29,538,863,0
962,8,1059,346,0
965,8,247,7,0
966,30,1024,1106,0
967,8,101,1581,0
973,26,898,984,0
974,8,922,257,0
977,8,604,692,0
978,26,775,1429,0
979,29,3,1467,0
981,26,1006,151,0
987,8,513,1271,0
988,8,93,1003,0
990,5,279,1334,0
991,8,90,969,0
993,8,248,1579,0
994,26,451,1575,0
996,8,656,122,0
1001,26,1031,758,0
1003,8,59,1387,0
1004,8,6,611,0
1007,8,99,830,0
1009,8,296,274,0
1010,8,705,1043,0
1012,30,865,340,0
1016,26,306,358,0
1018,7,687,1477,0
1019,8,583,1199,0
1030,5,689,1073,0
1035,30,541,795,0
1036,26,2,1125,0
1038,29,443,1162,0
1039,8,865,791,0
1042,8,579,304,0
1046,8,1017,1447,0
1047,8,55,1204,0
1059,8,501,79,0
1062,30,659,641,0
1065,8,248,1408,0
1070,26,379,1320,0
1072,30,474,317,0
1074,8,1086,1238,0
1076,8,581,691,0
1077,8,69,516,0
1082,8,885,283,0
1085,2,583,375,0
1086,26,776,834,0
1088,30,354,151,0
1091,8,544,163,0
1093,8,812,703,0
1094,26,358,506,0
1095,28,977,583,0
1096,7,392,316,0
1098,8,884,741,0
1100,8,430,1475,0
1102,8,247,1069,0
1103,30,997,641,0
1104,26,754,402,0
1106,28,1062,1547,0
1108,30,479,523,0
1109,29,1081,1432,0
1110,6,677,1192,1
1112,29,750,181,0
1119,26,620,1363,0
1126,8,98,974,0
1128,29,1040,1165,0
1129,8,981,848,0
1132,8,63,865,0
1136,30,683,1564,0
1138,30,343,263,0
1140,30,616,502,0
1141,8,55,195,0
1142,29,715,1384,0
1144,8,1000,1375,0
1147,8,276,1382,0
1150,28,525,590,0
1154,8,604,1046,0
1156,2,744,679,0
1159,30,351,619,0
1165,26,475,849,0
1167,3,389,1457,0
1168,3,584,67,0
1169,29,943,1329,0
1170,8,48,1064,0
1172,29,1046,1162,0
1173,5,455,1064,0
1174,29,982,189,0
1176,5,663,823,0
1177,30,381,823,0
1178,5,455,565,0
1180,29,750,386,0
1181,30,428,11,0
1190,30,1074,175,0
1191,26,375,1397,0
1200,30,1036,153,0
1202,8,288,376,0
1203,8,808,758,0
1206,8,579,1451,0
1207,7,392,1065,0
1214,8,276,1077,0
1218,30,354,449,0
1221,8,296,243,0
1222,8,654,409,0
1225,8,741,1551,0
1228,1,1026,344,0
1230,8,723,1390,0
1232,8,902,1411,0
1235,29,443,7,0
1240,8,62,485,0
1244,8,1059,46,0
1250,28,378,1387,0
1253,26,735,1547,0
1254,29,896,1329,0
1255,30,980,833,0
1257,26,453,455,0
1259,8,694,347,0
1265,8,1070,1512,0
1266,8,10,935,0
1274,8,906,504,0
1275,29,800,786,0
1279,26,379,1287,0
1281,8,60,807,0
1286,29,3,659,0
1288,5,893,567,0
1291,26,519,1210,0
1293,8,447,1378,0
1294,29,787,911,0
1296,8,627,143,0
1297,26,1020,619,0
1299,8,269,658,0
1302,8,494,21,0
1303,8,1015,28,0
1305,8,11,266,0
1307,8,808,1209,0
1308,30,1103,141,0
1312,8,1081,1124,0
1313,29,3,413,0
1316,8,276,391,0
1319,8,772,1169,0
1330,8,705,989,0
1333,26,630,578,0
1335,28,853,787,0
1336,8,911,888,0
1340,8,806,956,0
1342,7,1102,1438,0
1347,8,76,1087,0
1348,29,696,386,0
